mtxname,k,bands,r,genPairs_time,HC_time,Format_Conversion_time,LeSpGEMM_VLength_time,mixed_acc,error
piston,96,16,6,53.528,6.84,7.618,0.450802,dense clusters: 480 / 498 (96.3855%),
ford1,192,64,3,136.254,44.682,23.696,0.740933,dense clusters: 168 / 2412 (6.96517%),
c-41,192,64,3,158.944,39.945,16.612,3.58071,dense clusters: 4 / 4209 (0.0950344%),
mhd4800a,224,56,4,87.399,21.927,7.7,0.316167,dense clusters: 538 / 538 (100%),
cz10228,192,64,3,91.196,31.396,16.518,0.362992,dense clusters: 1473 / 1629 (90.4236%),
shuttle_eddy_id_763,192,64,3,95.228,34.881,15.44,0.451517,dense clusters: 596 / 1199 (49.7081%),
shuttle_eddy_id_881,160,40,4,59.441,23.311,16.915,0.425553,dense clusters: 602 / 1335 (45.0936%),
wiki-Vote,192,64,3,339.657,46.686,27.498,3.83801,dense clusters: 207 / 1682 (12.3068%),
nasa4704_id_760,256,64,4,82.952,17.285,9.723,0.532818,dense clusters: 204 / 533 (38.2739%),
nasa4704_id_365,256,64,4,76.247,17.439,9.769,0.541401,dense clusters: 204 / 533 (38.2739%),
crystm01,224,56,4,48.55,16.488,14.751,0.626254,dense clusters: 142 / 572 (24.8252%),
rajat09,192,64,3,163.801,39.531,23.3,0.595331,dense clusters: 565 / 3171 (17.8177%),
as-caida,192,48,4,3370.57,724.172,28.553,47.4707,dense clusters: 430 / 6715 (6.40357%),
mark3jac040sc,192,64,3,158.416,44.759,30.661,0.896096,dense clusters: 329 / 3619 (9.09091%),
mark3jac040,192,64,3,156.634,45.506,30.405,1.01891,dense clusters: 329 / 3619 (9.09091%),
barth5_id_867,256,64,4,122.645,40.295,21.822,0.535131,dense clusters: 384 / 1890 (20.3175%),
g7jac040,192,64,3,151.155,32.152,18.258,0.916839,dense clusters: 157 / 2780 (5.64748%),
g7jac040sc,192,64,3,144.072,33.193,17.764,0.920129,dense clusters: 157 / 2780 (5.64748%),
vsp_p0291_seymourl_iiasa,96,16,6,48.936,5.044,43.132,6.20687,dense clusters: 111 / 8281 (1.34042%),
windtunnel_evap2d,192,64,3,211.012,70.444,26.765,3.00202,dense clusters: 0 / 916 (0%),
bloweybl,256,64,4,176.621,45.77,38.449,106.311,dense clusters: 1956 / 15148 (12.9126%),
c-42,192,64,3,388.697,241.034,16.915,8.70788,dense clusters: 169 / 4336 (3.8976%),
vsp_data_and_seymourl,192,32,6,62.062,3.629,47.652,7.16341,dense clusters: 62 / 8233 (0.753067%),
jan99jac060sc,96,32,3,180.415,99.449,25.185,1.18034,dense clusters: 931 / 5379 (17.308%),
jan99jac060,96,32,3,184.571,99.319,25.265,1.194,dense clusters: 931 / 5379 (17.308%),
CurlCurl_0,192,64,3,84.712,48.076,25.633,0.754094,dense clusters: 0 / 1335 (0%),
cvxqp3,96,16,6,48.975,6.503,58.43,2.26495,dense clusters: 0 / 16967 (0%),
de2010,192,64,3,161.863,59.338,32.981,1.02518,dense clusters: 1 / 3932 (0.0254323%),
c-39,192,64,3,314.702,52.329,16.958,4.75008,dense clusters: 37 / 3521 (1.05084%),
bcsstk15,96,32,3,45.907,21.304,14.985,0.969958,dense clusters: 252 / 510 (49.4118%),
foldoc,160,40,4,78.704,12.723,31.066,1.56617,dense clusters: 0 / 5073 (0%),
bodyy4,192,48,4,93.489,36.577,25.352,0.597358,dense clusters: 23 / 2519 (0.913061%),
c-43,192,64,3,657.821,361.733,24.147,14.4037,dense clusters: 340 / 5243 (6.48484%),
hi2010,192,64,3,165.947,65.783,33.505,1.09689,dense clusters: 6 / 4165 (0.144058%),
vsp_c-30_data_data,224,56,4,431.235,275.201,20.972,7.65259,dense clusters: 295 / 3777 (7.81043%),
indianpines_10NN,192,64,3,77.936,35.386,26.865,1.17497,dense clusters: 20 / 1322 (1.51286%),
aft01,192,64,3,103.285,35.91,14.324,0.648284,dense clusters: 292 / 947 (30.8342%),
ri2010,192,64,3,158.778,64.12,35.098,1.11976,dense clusters: 2 / 4168 (0.0479846%),
aug3dcqp,96,16,6,74.938,14.227,58.713,1.315,dense clusters: 0 / 35277 (0%),
bodyy5,96,32,3,93.538,48.556,26.501,0.580859,dense clusters: 33 / 2226 (1.48248%),
rajat10,96,32,3,149.069,39.734,30.684,0.716972,dense clusters: 518 / 4741 (10.926%),
raefsky6,256,64,4,74.574,13.786,10.317,0.546145,dense clusters: 352 / 440 (80%),
c-46,96,32,3,538.418,295.776,30.023,12.9212,dense clusters: 286 / 7573 (3.77657%),
igbt3,96,32,3,147.665,48.878,22.085,1.08788,dense clusters: 0 / 1275 (0%),
JapaneseVowelsSmall_10NN,192,64,3,84.132,34.332,30.743,1.55461,dense clusters: 0 / 1523 (0%),
cavity23,256,64,4,83.732,26.164,11.605,0.648332,dense clusters: 867 / 898 (96.5479%),
cavity25,96,32,3,71.304,28.268,10.772,0.844789,dense clusters: 792 / 813 (97.417%),
cavity17,192,64,3,118.429,32.734,9.698,0.734639,dense clusters: 796 / 815 (97.6687%),
cavity21,256,64,4,88.511,26.614,11.99,0.550675,dense clusters: 867 / 898 (96.5479%),
cavity19,192,64,3,112.312,32.721,9.657,0.549889,dense clusters: 796 / 815 (97.6687%),
Wordnet3,192,64,3,5385.01,838.735,28.411,1.78688,dense clusters: 5043 / 17942 (28.1072%),
bodyy6,256,64,4,120.165,45.236,28.249,0.654817,dense clusters: 42 / 2518 (1.66799%),
mycielskian11,192,64,3,80.949,61.357,15.17,2.29983,dense clusters: 158 / 158 (100%),
ACTIVSg10K,192,64,3,210.868,46.145,17.802,0.54605,dense clusters: 0 / 2653 (0%),
cavity16,256,64,4,97.464,28.102,10.94,0.566006,dense clusters: 517 / 565 (91.5044%),
cavity26,192,64,3,130.461,36.092,9.597,0.547051,dense clusters: 465 / 510 (91.1765%),
cavity24,224,56,4,90.745,27.741,11.113,0.556803,dense clusters: 509 / 559 (91.0555%),
cavity22,256,64,4,97.364,27.798,10.892,0.597644,dense clusters: 517 / 565 (91.5044%),
cavity20,192,48,4,90.175,27.923,11.071,0.58589,dense clusters: 514 / 563 (91.2966%),
cavity18,192,32,6,48.004,17.218,13.594,0.621557,dense clusters: 521 / 568 (91.7254%),
rail_20209,192,64,3,147.744,69.047,26.894,0.663495,dense clusters: 130 / 2411 (5.39195%),
cca,32,8,4,61.5,21.704,66.176,1.1369,dense clusters: 1958 / 47312 (4.13848%),
stokes64s,192,64,3,93.977,53.649,29.964,1.32174,dense clusters: 0 / 1476 (0%),
stokes64,192,64,3,98.942,53.945,29.93,1.25747,dense clusters: 0 / 1476 (0%),
OPF_3754,192,64,3,189.914,44.692,15.941,0.57714,dense clusters: 0 / 2416 (0%),
shock-9,192,64,3,205.114,82.53,36.702,0.767231,dense clusters: 1 / 4236 (0.0236072%),
ted_B_unscaled,160,40,4,126.915,23.89,14.638,0.745559,dense clusters: 5020 / 5020 (100%),
ted_B,96,24,4,88.932,20.991,14.745,0.781608,dense clusters: 5036 / 5036 (100%),
juba40k,192,64,3,255.235,56.057,33.463,1.08693,dense clusters: 5417 / 11278 (48.0316%),
bauru5727,192,64,3,272.285,55.797,32.635,1.09267,dense clusters: 5481 / 11333 (48.3632%),
shermanACb,64,16,4,116.08,133.263,31.237,2.75044,dense clusters: 114 / 6492 (1.75601%),
g7jac050sc,192,64,3,193.129,48.152,21.604,1.33579,dense clusters: 197 / 3490 (5.6447%),
mnist_test_norm_10NN,96,32,3,50.727,23.902,45.348,2.53112,dense clusters: 0 / 2891 (0%),
ccc,32,8,4,60.18,20.921,69.831,1.08898,dense clusters: 0 / 47885 (0%),
p2p-Gnutella31,192,32,6,3632.71,273.154,55.493,2.40111,dense clusters: 232 / 21872 (1.06072%),
case9,224,56,4,144.848,67.417,23.857,36.827,dense clusters: 973 / 5469 (17.7912%),
TSOPF_FS_b9_c6,224,56,4,145.147,67.287,24.121,36.6639,dense clusters: 973 / 5469 (17.7912%),
bcsstk18,192,64,3,132.384,41.169,23.369,1.14651,dense clusters: 798 / 2405 (33.1809%),
hangGlider_4,96,32,3,118.696,60.592,26.058,137.193,dense clusters: 1746 / 1958 (89.1726%),
pds10,192,64,3,130.633,58.36,42.003,1.91629,dense clusters: 10 / 2861 (0.349528%),
